IPM,PERSONAS,P5010,REGION,DEPARTAMENTO,logro_educativo,alfabetismo,inasistencia_escolar,rezago_escolar,atencion_integral,trabajo_infantil,empleo_formal,desempleo_larga_duracion,barreras_acceso_salud,aseguramiento_salud,hacinamiento,paredes,pisos,alcantarillado,acueducto,P8526,P8530,P1075,P1077S21,P1077S22,P1077S23,POBRE
0.38,5,1,1,Bolívar,Sí,No,No,Sí,Sí,No,Sí,No,No,No,Sí,No,No,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,No,Sí
0.19,4,2,1,Bolívar,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,Sí,No,Sin conexión,Acu publi,No,No,No,No,No
0.15,3,2,1,Bolívar,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.24,2,2,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.0,3,3,1,Bolívar,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,Sí,No,No,No
0.1,5,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,2,2,1,Bolívar,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.3,2,1,1,Bolívar,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.39,7,3,1,Bolívar,Sí,Sí,No,Sí,No,No,Sí,No,No,No,No,No,No,Sí,No,Bajamar,Acu publi,Sí,No,No,No,Sí
0.28,4,2,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,Sí,No,Sin servivio,Acu publi,No,No,No,No,No
0.31,5,1,1,Bolívar,Sí,No,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sin servivio,Acu publi,Sí,No,No,No,No
0.39,5,1,1,Bolívar,Sí,No,No,No,Sí,No,Sí,No,No,Sí,Sí,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,Sí
0.43,4,2,1,Bolívar,Sí,Sí,No,Sí,No,No,Sí,No,No,No,No,No,Sí,Sí,No,Inod a pozo séptico,Acu publi,No,No,No,No,Sí
0.24,3,2,1,Bolívar,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sin conexión,Acu publi,No,No,No,No,No
0.1,1,1,1,Bolívar,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.1,2,1,1,Bolívar,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.1,2,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.2,4,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.1,2,3,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.26,4,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sin servivio,Aguatero,Sí,No,No,No,No
0.37,5,1,1,Bolívar,Sí,No,No,Sí,No,No,Sí,No,No,No,Sí,No,No,Sí,Sí,Inod a pozo séptico,Aguatero,No,No,No,No,Sí
0.46,3,1,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Letrina,Acu publi,No,No,No,No,Sí
0.1,1,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,2,1,1,Bolívar,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.1,4,3,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,Sí,No,No,No
0.1,2,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.14,2,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,Sin servivio,Acu publi,No,No,No,No,No
0.14,1,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,Letrina,Acu publi,No,No,No,No,No
0.0,2,1,1,Bolívar,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.29,4,1,1,Bolívar,Sí,No,No,No,Sí,No,Sí,No,No,No,Sí,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.28,1,1,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,Sin servivio,Carrotanque,No,No,No,No,No
0.3,1,1,1,Bolívar,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.1,3,2,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.25,2,2,8,San Andrés,No,No,No,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,Inod a alcantarillado,Agua en bolsa,Sí,No,No,No,No
0.2,2,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.45,2,1,1,Sucre,Sí,Sí,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,Sí
0.05,3,2,8,San Andrés,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Agua en bolsa,Sí,No,No,No,No
